country,avg_person_day,share,avg_rdi,rdi_rate
China,149609376,33.14,26.15,1
Japan,85171954,18.86,21.49,0.65
Philippines,44489476,9.85,50.52,0.74
Taiwan,42130698,9.33,20.92,0.49
United States,19794191,4.38,26.88,0.79
South Korea,19086826,4.23,16.66,1.45
India,15560018,3.45,56.86,0.91
Bangladesh,12690328,2.81,62.93,1.05
Vietnam,11023809,2.44,39.66,1.12
Hong Kong (China),4692229,1.04,NA,NA
North Korea,4547282,1.01,67.23,1.11
Haiti,4362345,0.97,74.19,1.14
Cuba,4338338,0.96,38.84,1.35
Madagascar,3575019,0.79,81.21,0.88
Thailand,3208681,0.71,NA,NA
Mexico,2968848,0.66,36.44,1.24
Dominican Republic,2737083,0.61,NA,NA
Ireland,2121311,0.47,35.84,1.2
United Kingdom,2027317,0.45,NA,NA
Puerto Rico,1584440,0.35,41.8,1.13
Mozambique,1389499,0.31,78.04,0.95
Jamaica,1259490,0.28,45.24,0.75
Myanmar,1278484,0.28,58.29,1.13
Mauritius,900290,0.2,NA,NA
Reunion,904491,0.2,NA,NA
Canada,814966,0.18,25.78,1.47
Spain,807365,0.18,NA,NA
Cambodia,628120,0.14,NA,NA
Brazil,604836,0.13,NA,NA
Malaysia,515507,0.11,NA,NA
New Zealand,507205,0.11,NA,NA
Morocco,398596,0.09,NA,NA
Portugal,426888,0.09,23.63,2.01
Fiji,357481,0.08,NA,NA
Yemen,342836,0.08,NA,NA
Oman,311075,0.07,33.79,1.09
Comoros,277554,0.06,NA,NA
Macau (China),264698,0.06,NA,NA
Norway,229929,0.05,NA,NA
The Bahamas,232522,0.05,NA,NA
Guadeloupe,174788,0.04,NA,NA
Guam,202373,0.04,NA,NA
Laos,197374,0.04,72.38,1.17
Somalia,161413,0.04,89.33,1.09
Trinidad & Tobago,189882,0.04,NA,NA
Martinique,152070,0.03,NA,NA
Samoa,136371,0.03,NA,NA
Australia,91203,0.02,31.37,1.32
Barbados,82450,0.02,NA,NA
Belize,70150,0.02,NA,NA
Costa Rica,84150,0.02,37.3,1.8
France,79958,0.02,NA,NA
Iceland,99960,0.02,NA,NA
Indonesia,92935,0.02,NA,NA
Nicaragua,108046,0.02,60.49,1.42
Russia,100978,0.02,NA,NA
Sri Lanka,98576,0.02,NA,NA
Vanuatu,88656,0.02,NA,NA
American Samoa (Eastern Samoa),23423,0.01,NA,NA
Antigua & Barbuda,36353,0.01,NA,NA
Bermuda,39375,0.01,NA,NA
Cape Verde,27240,0.01,NA,NA
Cayman Is.,35442,0.01,NA,NA
Colombia,28007,0.01,NA,NA
Dominica,25130,0.01,NA,NA
Grenada,23075,0.01,NA,NA
Honduras,55694,0.01,59.44,1.16
Iran,54778,0.01,NA,NA
Isle of Man,25889,0.01,NA,NA
New Caledonia,66528,0.01,NA,NA
Northern Mariana Is.,51455,0.01,NA,NA
Pakistan,59523,0.01,NA,NA
Papua New Guinea,43461,0.01,NA,NA
Saint Martin (France),22690,0.01,NA,NA
St. Kitts & Nevis,25508,0.01,NA,NA
St. Lucia,67489,0.01,NA,NA
St. Vincent & the Grenadines,33853,0.01,NA,NA
Tonga,29868,0.01,NA,NA
Turks & Caicos Is.,25881,0.01,NA,NA
Venezuela,44975,0.01,NA,NA
Virgin Is.,39521,0.01,NA,NA
Anguilla,6236,0,NA,NA
Aruba,20490,0,NA,NA
Bonaire (Neth),2015,0,NA,NA
British Virgin Is.,10461,0,NA,NA
Christmas I.,671,0,NA,NA
Cocos Is.,19,0,NA,NA
Cook Is.,2962,0,NA,NA
Denmark,481,0,NA,NA
El Salvador,7343,0,NA,NA
Faroe Is.,10517,0,NA,NA
French Polynesia,3744,0,NA,NA
Greenland,2249,0,NA,NA
Guatemala,20687,0,63.61,1.25
Guernsey,10793,0,NA,NA
Jersey,632,0,NA,NA
Marshall Is.,5,0,NA,NA
Mayotte,22201,0,NA,NA
Micronesia,6961,0,NA,NA
Montserrat,2124,0,NA,NA
Netherlands Antilles,22129,0,NA,NA
Niue,727,0,NA,NA
Palau,4703,0,NA,NA
Saba (Neth),827,0,NA,NA
Saint Barthelemy (France),4361,0,NA,NA
Seychelles,3,0,NA,NA
Sint Eustatius (Neth),1873,0,NA,NA
Sint Maarten (Neth),14714,0,NA,NA
Solomon Is.,1641,0,NA,NA
South Africa,10711,0,NA,NA
St. Pierre & Miquelon,3164,0,NA,NA
Sweden,13252,0,NA,NA
Wallis & Futuna,4740,0,NA,NA
Zimbabwe,3967,0,NA,NA